Name,Gender,Race,Date,Distance,Swim,T1,Bike,T2,Run,Total,Swim Distance,Bike Distance,Run Distance,Notes
Oliver Pilon,Male,Rio Grande Tri,4/27/2013,Sprint,0:09:43,0:01:10,0:43:28,0:01:19,0:23:37,1:19:20,365.76,16.09,5,
Oliver Pilon,Male,Rio Grande Tri,4/26/2014,Sprint,0:08:33,0:00:42,0:36:29,0:01:12,0:20:19,1:07:16,365.76,16.09,5,
Oliver Pilon,Male,UNM Spring Fling,4/27/2014,Sprint,,,,,,1:22:03,,,,
Oliver Pilon,Male,Jay Benson Triathlon,5/11/2014,Sprint,0:07:40,0:01:20,0:48:00,,0:23:20,1:20:55,,,,
Oliver Pilon,Male,City of Lakes Triathlon,6/28/2014,Sprint,,,,,,1:51:55,,,,
Oliver Pilon,Male,Patriot Tri,9/13/2014,Sprint,,0:03:19,1:02:19,0:00:46,0:24:42,1:37:55,,,,
Oliver Pilon,Male,Lobo Tri,4/13/2015,Sprint,0:07:55,0:00:54,0:47:20,0:00:35,0:23:06,1:19:48,400,20,5,
Oliver Pilon,Male,Rio Grande Tri,4/25/2015,Sprint,0:08:01,0:00:50,0:35:43,0:00:53,0:20:15,1:05:44,365.76,16.09,5,
Oliver Pilon,Male,City of Lakes Triathlon,6/27/2015,Sprint,,,,,,0:44:31,,,,No Trustable Results
Oliver Pilon,Male,Lobo Tri,4/16/2016,Sprint,,,,,,1:15:22,400,20,5,
Oliver Pilon,Male,Rio Grande Tri,4/23/2016,Sprint,0:07:43,0:01:00,0:33:41,0:00:59,0:18:27,1:01:52,365.76,16.09,5,
Oliver Pilon,Male,City of Lakes Triathlon,6/25/2016,Sprint,0:13:33,0:00:51,0:40:46,0:00:29,0:20:30,1:16:11,750,20,5,
Oliver Pilon,Male,Lobo Tri,4/9/2017,Sprint,,,,,,1:10:17,400,20,5,
Oliver Pilon,Male,Rio Grande Tri,4/29/2017,Sprint,,,,,,1:00:37,365.76,16.09,5,
Oliver Pilon,Male,City of Lakes Triathlon,6/17/2017,Sprint,0:11:45,,0:42:37,,0:20:23,1:16:30,750,20,5,
Oliver Pilon,Male,Lobo Tri,4/8/2018,Sprint,0:07:18,0:00:23,0:44:30,0:00:41,0:19:00,1:11:52,400,20,5,
Oliver Pilon,Male,City of Lakes Triathlon,6/9/2018,Sprint,0:11:49,0:01:18,0:41:09,0:00:38,0:20:37,1:15:30,750,20,5,
Oliver Pilon,Male,City of Lakes Triathlon,8/21/2021,Sprint,0:11:33,0:01:06,0:33:35,0:00:38,0:18:38,1:05:31,750,20,5,
Oliver Pilon,Male,Malibu Triathlon,9/25/2021,Olympic,0:23:46,,1:04:40,,0:36:06,2:08:09,,,,
Oliver Pilon,Male,Tritonman,2/13/2022,Sprint,,,,,,1:02:26,750,21,5,
Oliver Pilon,Male,Stanford Treeathlon,3/6/2022,Sprint,,,,,,1:01:29,600,20,5,
Oliver Pilon,Male,Collegiate Club Nationals,4/2/2022,Olympic,,0:02:11,1:05:41,0:00:44,0:34:38,1:54:49,,,,
Oliver Pilon,Male,City of Lakes Triathlon,6/11/2022,Sprint,0:10:31,0:01:01,0:33:39,0:00:32,0:21:25,1:07:18,750,20,5,
Oliver Pilon,Male,70.3 Wisconsin,9/6/2022,70.3,0:31:10,0:04:58,2:20:45,0:01:29,1:28:27,4:26:49,1931.213,90.12326,21.08241,
Oliver Pilon,Male,Morro Bay Tri,11/6/2022,Olympic,0:25:12,0:01:19,1:04:13,0:01:28,0:37:43,2:09:58,1500,40,10,
Oliver Pilon,Male,Tritonman,2/11/2023,Sprint,0:08:29,0:00:37,0:31:24,0:00:47,0:16:41,0:58:02,,21,5,No Swim
Oliver Pilon,Male,Collegiate Club Nationals,4/15/2023,Olympic,,,,,,2:06:23,,,,
Oliver Pilon,Male,Davis,10/8/2023,Sprint,0:06:33,0:00:34,0:33:57,0:00:27,0:17:13,0:58:46,400,20,5,
Ismael Trejo,Male,Davis,10/8/2023,Sprint,0:09:39,0:01:04,0:43:27,0:01:14,0:27:36,1:23:02,400,20,5,
